Latitude,Longitude,Beat,District,Ward,Community Area,Hour,DayOfWeek,Month,Year,Location_Description_Clean,TimeOfDay,Season,Arrest_Target
41.72938999080001,-87.66947919531805,427,21,32,7,13,4,3,2022,RESIDENCE,Night,Fall,1
41.93126114217699,-87.67888887329423,389,3,25,49,1,0,12,2023,PARKING LOT,Night,Spring,0
41.755855538044706,-87.72959635940529,1886,5,41,72,16,1,11,2020,PARKING LOT,Morning,Summer,0
41.860034010588905,-87.71210452820483,610,11,17,60,5,5,8,2022,APARTMENT,Morning,Spring,1
41.87335513967164,-87.79950086279686,1011,24,14,33,10,5,5,2020,SIDEWALK,Evening,Winter,0
41.692427227762764,-87.71630928831097,460,7,45,47,1,1,3,2018,RESIDENCE,Morning,Summer,0
42.08479231388228,-87.86109984244469,1722,6,13,44,0,5,9,2019,SIDEWALK,Afternoon,Fall,1
41.98756641168056,-87.58767152118783,815,14,38,27,4,2,9,2020,RESIDENCE,Afternoon,Spring,0
42.0697494707821,-87.86640037038558,318,1,39,22,7,0,12,2021,APARTMENT,Night,Summer,1
42.047413675213825,-87.91176516954974,505,17,2,47,3,6,7,2018,PARKING LOT,Afternoon,Spring,0
41.898949989405544,-87.75368928813928,852,17,32,48,18,4,8,2018,PARKING LOT,Afternoon,Fall,0
42.06093711751156,-87.65376165222227,1022,14,32,30,4,0,5,2022,STREET,Evening,Fall,0
41.64424625102596,-87.7530274287799,931,10,40,2,4,0,5,2021,SIDEWALK,Night,Summer,0
41.69799143120957,-87.82546064062191,1893,8,6,15,23,6,5,2022,RESIDENCE,Night,Fall,0
41.62261364445527,-87.6988229672493,1744,8,25,47,15,1,2,2023,STREET,Night,Summer,0
41.762665165381634,-87.79384894906451,1891,14,3,27,21,3,3,2018,SIDEWALK,Afternoon,Fall,0
41.79433864484474,-87.53020953944302,893,7,18,71,17,4,8,2020,RESIDENCE,Morning,Winter,1
41.73567451588695,-87.5348096871784,1343,6,38,27,10,0,6,2023,APARTMENT,Evening,Summer,0
42.01436875457597,-87.72393268101256,694,4,43,13,16,2,9,2021,SIDEWALK,Morning,Spring,1
41.7783766633468,-87.80245220269178,206,1,3,55,2,6,7,2018,RESIDENCE,Night,Summer,0
41.74046725484369,-87.6182904137195,680,15,48,17,17,1,6,2021,PARKING LOT,Night,Fall,0
41.871348041579125,-87.93347917543262,708,15,5,75,3,3,11,2023,SIDEWALK,Afternoon,Fall,0
41.670462112487385,-87.73635394728036,1847,1,24,59,18,3,4,2020,RESIDENCE,Evening,Fall,0
42.00109849037702,-87.79865447257835,1409,20,34,10,8,1,7,2019,PARKING LOT,Evening,Spring,0
41.63727532183989,-87.53575885170385,1872,3,47,33,4,0,4,2022,PARKING LOT,Evening,Spring,0
42.09344346830026,-87.9445986377273,107,23,48,37,3,6,7,2022,STREET,Afternoon,Fall,0
41.98612238464833,-87.70123330592675,905,5,39,8,15,5,5,2023,RESIDENCE,Morning,Winter,0
41.699357840767085,-87.61670138852001,288,5,48,33,9,1,2,2018,STREET,Evening,Summer,0
41.6027610585618,-87.73174190561419,180,4,24,7,8,5,7,2018,STREET,Morning,Fall,0
42.00773071422742,-87.91156863642678,207,17,36,34,15,3,8,2020,APARTMENT,Afternoon,Winter,0
41.95342867192381,-87.51239237448745,1444,21,28,71,19,3,10,2018,STREET,Afternoon,Spring,0
41.9645035840205,-87.71689530588075,1702,20,48,7,21,2,11,2018,STREET,Morning,Fall,1
41.98563517334298,-87.67361619005645,785,14,49,41,16,2,2,2018,APARTMENT,Evening,Summer,0
41.63702232586704,-87.84352559778162,445,8,34,55,17,3,6,2021,APARTMENT,Morning,Summer,1
41.77923286427214,-87.73242586170194,1986,2,16,7,14,2,4,2021,SIDEWALK,Evening,Spring,1
41.657934529762564,-87.75688272861876,427,8,36,18,19,2,5,2019,STREET,Night,Fall,0
42.0315517129378,-87.9162968710991,654,1,7,43,8,2,1,2021,PARKING LOT,Night,Fall,1
41.91164906341378,-87.90222784090365,1822,4,18,40,5,3,6,2022,APARTMENT,Evening,Fall,0
41.76544901242632,-87.57313736617155,401,19,6,53,5,0,12,2023,RESIDENCE,Morning,Winter,1
41.631779175143016,-87.84208102150704,299,5,28,14,10,0,12,2019,SIDEWALK,Evening,Winter,0
41.75549116085783,-87.86226877782562,992,5,39,21,19,6,11,2018,SIDEWALK,Evening,Fall,0
41.762591661013374,-87.72278984693745,1542,21,34,57,2,4,8,2022,STREET,Evening,Summer,0
41.96480308916903,-87.60406379088687,1162,20,41,46,22,2,2,2019,PARKING LOT,Night,Winter,1
41.918778735677606,-87.92212406663946,1855,24,29,26,11,0,1,2023,APARTMENT,Afternoon,Summer,0
42.04360637128816,-87.69043643616278,406,19,4,24,14,4,9,2019,RESIDENCE,Night,Winter,0
41.836107462580976,-87.89635530072175,1127,12,14,5,6,1,2,2022,STREET,Evening,Spring,0
41.65979712296915,-87.93359252712847,1756,20,5,42,21,2,8,2019,PARKING LOT,Morning,Spring,0
41.9566223936115,-87.926265221527,1971,1,25,43,17,0,5,2022,STREET,Afternoon,Spring,0
41.98039252430845,-87.5746261513062,1200,7,39,32,21,0,2,2019,STREET,Evening,Summer,0
41.88063859878475,-87.89691238236738,567,17,8,6,14,5,5,2019,SIDEWALK,Afternoon,Summer,0
41.985483589977285,-87.92968188601448,278,2,15,74,7,0,9,2019,RESIDENCE,Morning,Fall,0
41.8468977981822,-87.7529450507857,744,11,19,67,21,5,6,2022,RESIDENCE,Afternoon,Fall,0
41.861366414691,-87.57020293762609,1946,7,11,7,8,4,3,2019,RESIDENCE,Afternoon,Spring,0
41.81377050917928,-87.83191623057982,1864,17,20,29,14,5,12,2023,RESIDENCE,Evening,Spring,1
41.61270956337205,-87.76022932211333,375,3,36,34,15,1,8,2023,APARTMENT,Morning,Winter,0
41.653945713496654,-87.93203486034632,1275,22,18,7,19,6,1,2021,APARTMENT,Morning,Spring,1
41.61571459284337,-87.74791466863931,1287,6,14,58,2,2,9,2021,RESIDENCE,Night,Spring,1
41.91820520563189,-87.6900741137133,1413,22,38,31,4,0,9,2021,PARKING LOT,Afternoon,Spring,1
41.75717799053817,-87.69309182581154,1501,11,25,73,2,6,4,2021,APARTMENT,Evening,Summer,1
41.854285345582355,-87.80040798852154,720,18,16,45,1,3,8,2021,APARTMENT,Afternoon,Summer,0
42.05378323696305,-87.80801006870159,737,18,18,47,1,2,11,2023,PARKING LOT,Afternoon,Spring,0
41.72464611457444,-87.90201937147853,1875,22,1,72,3,3,11,2018,RESIDENCE,Afternoon,Winter,0
41.805191461517815,-87.78494075570919,1433,10,40,73,2,6,3,2019,STREET,Evening,Winter,0
41.97777556927153,-87.90522739900717,1029,5,1,73,8,4,6,2023,APARTMENT,Afternoon,Fall,1
41.714399082745814,-87.60503182487957,1512,23,1,40,22,0,10,2023,STREET,Evening,Spring,0
41.6384899549144,-87.51517656601331,1980,23,21,30,21,2,10,2020,STREET,Morning,Summer,0
41.74487572645688,-87.51346649449998,1781,21,25,62,11,2,8,2018,PARKING LOT,Afternoon,Spring,0
41.680610643627006,-87.56071800528107,1887,24,27,71,23,0,11,2022,RESIDENCE,Night,Winter,0
42.064848826171286,-87.67964353279717,282,22,10,17,8,6,9,2018,STREET,Morning,Summer,0
42.00406018978221,-87.63461043624025,1944,15,12,5,18,1,8,2020,RESIDENCE,Night,Summer,0
41.91670187825521,-87.82165738879381,1429,21,28,1,11,4,9,2023,SIDEWALK,Afternoon,Summer,0
42.03573029509386,-87.66615331092233,171,20,49,31,15,0,4,2018,RESIDENCE,Morning,Fall,0
42.00183603844956,-87.74495770275206,1342,23,32,35,22,5,10,2019,PARKING LOT,Evening,Spring,0
41.69328502944302,-87.73309219710038,818,4,33,72,0,2,1,2021,PARKING LOT,Afternoon,Spring,0
42.04627949924499,-87.60900054783119,1296,21,8,30,9,1,7,2019,SIDEWALK,Afternoon,Spring,0
41.869671120957825,-87.82313673998124,1776,21,42,15,22,2,11,2018,PARKING LOT,Evening,Winter,1
42.00372007758203,-87.80688217473747,1395,1,26,56,9,3,12,2023,RESIDENCE,Night,Summer,0
42.04804564996175,-87.53391119399211,825,15,42,60,3,2,10,2023,RESIDENCE,Morning,Summer,0
41.75900173748593,-87.92469906731706,1591,17,41,27,10,4,4,2020,RESIDENCE,Morning,Winter,0
41.65502596226384,-87.73146456571399,368,19,2,2,21,0,1,2022,PARKING LOT,Evening,Fall,1
41.71396758127097,-87.53923963981646,1143,14,35,74,10,2,3,2019,RESIDENCE,Morning,Winter,0
41.81355389431313,-87.67533664648182,677,19,34,64,10,5,7,2020,APARTMENT,Evening,Summer,0
42.00900738296125,-87.70411681660454,1094,18,6,5,21,3,11,2022,SIDEWALK,Night,Fall,0
42.03036529162817,-87.8376151193468,914,2,31,68,5,3,3,2021,APARTMENT,Night,Fall,1
41.603476065265596,-87.795526029921,1626,6,23,13,14,0,1,2019,RESIDENCE,Morning,Summer,0
41.85537365128879,-87.56657821288789,246,13,12,23,1,3,7,2023,PARKING LOT,Evening,Winter,0
41.808705501574394,-87.69835184070419,1552,17,28,50,20,6,8,2019,SIDEWALK,Evening,Spring,0
41.71105390523537,-87.71836601280945,1288,6,15,73,22,0,5,2023,APARTMENT,Evening,Spring,0
41.659932683666845,-87.90518912890698,989,21,19,37,21,4,6,2023,RESIDENCE,Evening,Spring,0
41.768807585701815,-87.94278732959519,409,22,12,30,2,0,3,2021,PARKING LOT,Morning,Winter,0
42.07145485195626,-87.51634166509083,617,5,48,23,4,1,5,2021,RESIDENCE,Afternoon,Summer,0
41.761601466010376,-87.78035622472092,113,7,2,34,23,3,3,2018,APARTMENT,Morning,Winter,0
41.85939531087168,-87.67855412205522,231,1,11,64,10,3,2,2022,APARTMENT,Evening,Spring,0
41.95150947944759,-87.91412821706572,1977,13,44,55,20,5,7,2020,SIDEWALK,Afternoon,Spring,0
41.78181480118965,-87.64259857142463,854,19,37,71,11,2,10,2021,PARKING LOT,Afternoon,Spring,1
42.08589104136048,-87.53034498108232,538,22,38,9,2,1,11,2018,STREET,Morning,Winter,0
42.081223647471056,-87.69095063615116,842,1,25,4,8,6,7,2022,RESIDENCE,Evening,Winter,0
41.725891147912684,-87.89324810493106,839,13,43,66,2,2,12,2022,PARKING LOT,Evening,Spring,1
41.848624252946195,-87.68822531263693,1797,11,21,33,1,0,8,2019,STREET,Evening,Fall,0
41.750439154908385,-87.60514375410291,894,7,42,32,5,4,12,2018,PARKING LOT,Evening,Spring,0
41.74242024718873,-87.7671125585417,362,20,36,44,23,5,1,2018,RESIDENCE,Evening,Summer,0
41.61844347367727,-87.55407301342633,742,3,9,37,5,3,2,2019,RESIDENCE,Afternoon,Winter,0
41.904782166989946,-87.65809267098919,1348,1,12,67,16,6,2,2020,SIDEWALK,Morning,Fall,0
41.851339511614434,-87.54533798676987,357,8,10,60,7,6,12,2021,APARTMENT,Morning,Fall,1
41.625739375624995,-87.66942260993869,1357,17,46,59,0,4,3,2023,APARTMENT,Night,Summer,0
41.73932323211831,-87.89092041259784,1459,13,5,36,7,0,7,2019,APARTMENT,Morning,Spring,0
42.05413294298333,-87.81063873000267,508,14,33,49,21,0,7,2021,SIDEWALK,Afternoon,Spring,1
41.71978094533349,-87.8591922732864,1951,5,5,51,14,1,7,2023,APARTMENT,Night,Spring,0
41.672447436045616,-87.54102807602742,1074,24,16,8,17,2,1,2018,PARKING LOT,Afternoon,Summer,0
41.84472638013878,-87.60781996972064,1147,22,37,50,12,3,2,2019,APARTMENT,Morning,Winter,0
42.0928252270553,-87.6456207339905,370,23,37,41,7,6,8,2023,APARTMENT,Afternoon,Winter,1
41.72102763575575,-87.81456515616577,1218,24,29,38,19,3,9,2020,RESIDENCE,Afternoon,Summer,0
41.93606777370294,-87.86717985257741,241,6,18,55,17,6,10,2021,SIDEWALK,Morning,Winter,0
41.98080980766436,-87.609597010405,1817,22,29,68,12,4,7,2021,SIDEWALK,Afternoon,Summer,0
41.718818771996204,-87.73662892435442,1841,6,6,18,13,1,1,2021,APARTMENT,Night,Summer,0
41.964108174305935,-87.84839470153221,1001,21,18,65,14,5,12,2018,STREET,Night,Fall,0
41.78389156635963,-87.67252010982563,1073,8,32,64,5,0,4,2023,RESIDENCE,Evening,Fall,0
41.91615291529679,-87.9318497665377,1204,13,42,12,0,1,10,2021,APARTMENT,Night,Winter,0
41.91676485538045,-87.80322338564228,373,18,47,41,6,3,8,2022,STREET,Night,Fall,1
41.86788734203738,-87.739149352434,375,23,31,42,0,5,5,2021,PARKING LOT,Morning,Winter,1
41.64514488502721,-87.88341874965077,564,4,11,60,14,2,1,2018,RESIDENCE,Night,Summer,1
42.01765124779462,-87.50690548508412,1331,17,26,50,5,4,7,2019,SIDEWALK,Morning,Winter,0
41.76039003248587,-87.85590618593467,1419,5,28,36,4,0,6,2021,STREET,Night,Fall,0
41.693259255199926,-87.89134109148053,1162,3,27,48,11,0,9,2021,APARTMENT,Morning,Winter,0
41.62038757077738,-87.8584093067509,387,4,19,71,2,0,4,2019,STREET,Morning,Fall,0
41.89544647159412,-87.60392249007812,1247,23,45,73,21,2,4,2023,SIDEWALK,Afternoon,Summer,0
41.938782180921145,-87.75852245332767,975,5,27,8,19,3,8,2023,PARKING LOT,Night,Spring,0
41.60829391446393,-87.69556282711136,1406,14,20,25,13,3,4,2022,STREET,Morning,Summer,0
41.856046529149644,-87.94054587935614,977,15,3,7,5,1,3,2018,APARTMENT,Night,Fall,0
41.71324788759897,-87.93450591114201,279,20,16,8,3,5,7,2019,STREET,Evening,Winter,0
41.922586395204725,-87.74937850257784,1220,17,39,76,14,6,5,2018,PARKING LOT,Afternoon,Fall,0
41.6871832145025,-87.58250514055926,1314,6,44,31,16,1,9,2023,STREET,Afternoon,Fall,1
41.94546886905123,-87.5516425045816,1197,10,29,12,4,3,5,2019,PARKING LOT,Morning,Spring,0
41.79336767315027,-87.91098204458197,546,22,15,57,23,0,9,2020,PARKING LOT,Night,Winter,1
42.068364994368366,-87.70773660405455,884,23,30,66,5,2,6,2022,RESIDENCE,Afternoon,Fall,1
41.668760472073,-87.53904664117432,1620,16,40,12,9,3,6,2020,RESIDENCE,Afternoon,Summer,0
41.77053317552513,-87.77541226052095,660,17,49,27,8,2,11,2023,APARTMENT,Afternoon,Summer,1
41.6567367606203,-87.57669537585724,583,14,1,46,3,4,6,2019,APARTMENT,Morning,Fall,0
42.062346809139285,-87.88983695552025,948,20,29,7,8,0,7,2023,APARTMENT,Evening,Fall,0
42.03866967669049,-87.52907247964949,821,12,30,61,7,4,12,2019,PARKING LOT,Morning,Fall,1
41.72897081385758,-87.61185950711092,215,9,40,58,2,3,11,2018,PARKING LOT,Evening,Fall,0
41.92999202301709,-87.5263995232459,634,15,46,58,21,1,4,2019,RESIDENCE,Afternoon,Summer,0
42.00861110010061,-87.64552224490137,1221,12,32,13,19,3,4,2023,PARKING LOT,Evening,Spring,0
41.87760040579973,-87.78646823060026,1451,14,10,53,0,4,9,2018,RESIDENCE,Morning,Fall,0
41.86482528917801,-87.52781847236388,506,22,27,65,19,2,12,2018,STREET,Morning,Winter,1
41.72092614545023,-87.82599495066087,1436,18,8,49,4,5,7,2019,APARTMENT,Night,Spring,0
41.64655138390295,-87.80052236507223,1825,20,36,35,2,5,11,2018,APARTMENT,Night,Summer,0
42.04860787897667,-87.63463621189922,793,6,42,17,3,3,10,2023,SIDEWALK,Morning,Fall,1
42.05020902858167,-87.60560766521358,1271,4,35,72,22,6,6,2022,RESIDENCE,Night,Fall,0
41.916550728636636,-87.53176843226788,1465,23,36,67,23,1,1,2020,SIDEWALK,Afternoon,Fall,1
41.76951489552435,-87.8578389159247,594,12,48,10,18,4,7,2019,APARTMENT,Evening,Fall,1
41.77460478730633,-87.59090088415135,1047,13,36,34,14,3,6,2018,SIDEWALK,Morning,Winter,1
41.96297783943512,-87.61765427597136,122,19,25,4,18,4,12,2018,STREET,Morning,Fall,0
42.04855512997629,-87.92129244968588,1228,22,20,29,15,4,4,2023,SIDEWALK,Night,Summer,0
42.04354321213256,-87.7757495864554,1798,13,45,46,22,0,8,2018,STREET,Morning,Winter,0
41.98993777292881,-87.82275554432296,1702,12,17,75,7,5,7,2018,APARTMENT,Night,Spring,0
41.92101582307715,-87.81297930904068,1925,20,23,46,13,6,8,2022,PARKING LOT,Afternoon,Spring,0
41.642069982497524,-87.50767390420039,1924,3,25,59,4,5,9,2019,RESIDENCE,Morning,Spring,0
41.68081435704731,-87.66075016393404,657,3,48,61,0,2,1,2019,SIDEWALK,Afternoon,Fall,0
42.049277094263545,-87.62704572899293,1716,14,49,68,18,6,3,2023,STREET,Afternoon,Spring,0
41.903214529829796,-87.51052206320824,1040,18,31,66,4,0,2,2022,APARTMENT,Morning,Winter,0
41.60459852580831,-87.78025919789407,1782,19,6,34,2,5,3,2022,APARTMENT,Night,Winter,0
41.65073577143302,-87.58917192419624,1345,10,35,5,16,4,11,2022,PARKING LOT,Night,Spring,0
41.93175088455403,-87.75446106651297,954,17,4,9,6,1,11,2019,APARTMENT,Afternoon,Spring,0
41.60253079192311,-87.55870984768326,1138,15,40,20,16,1,2,2021,APARTMENT,Night,Winter,0
41.680404025708754,-87.86870410640992,990,19,20,21,12,0,11,2023,PARKING LOT,Night,Summer,0
41.87436689468329,-87.52354122032108,1756,9,41,17,21,1,6,2023,APARTMENT,Afternoon,Spring,0
41.945947598846345,-87.85155273121511,177,4,1,12,21,4,9,2020,STREET,Morning,Winter,0
41.9259806297513,-87.80320077185858,1445,15,45,67,13,6,2,2022,SIDEWALK,Morning,Spring,0
41.71213465473028,-87.60971349465196,906,19,26,5,22,3,4,2022,SIDEWALK,Evening,Winter,0
41.95608961067377,-87.77281018629557,1364,16,34,60,11,4,5,2019,STREET,Morning,Fall,0
41.718624543748405,-87.6763048804551,1141,8,10,53,10,5,5,2023,SIDEWALK,Night,Spring,0
41.76269984907964,-87.74994192451877,867,17,23,52,0,3,1,2019,APARTMENT,Evening,Spring,0
41.97324570255901,-87.6159335283096,553,21,49,48,2,1,6,2020,SIDEWALK,Evening,Summer,0
41.92481644952361,-87.84725093643412,1566,1,24,19,11,6,5,2018,SIDEWALK,Evening,Summer,0
42.02461170524709,-87.9236939057434,1027,7,13,17,8,2,6,2019,APARTMENT,Morning,Summer,1
41.928806446150176,-87.81503177113713,376,21,29,54,1,2,4,2020,SIDEWALK,Evening,Summer,0
41.884154301667735,-87.73656110080921,1547,18,46,68,13,4,11,2019,APARTMENT,Evening,Spring,0
41.64683738391405,-87.8743909765133,1599,12,27,35,4,4,6,2019,PARKING LOT,Evening,Spring,0
41.78385790152972,-87.79034121965462,1150,16,31,41,2,1,9,2019,PARKING LOT,Morning,Summer,0
41.73260118384086,-87.77000764176789,613,1,43,13,11,2,1,2021,SIDEWALK,Morning,Summer,0
41.72199482168954,-87.92417367034028,1988,15,10,33,11,2,6,2021,PARKING LOT,Morning,Spring,0
42.086505277376226,-87.68751173831711,563,7,31,15,20,4,1,2022,SIDEWALK,Morning,Fall,0
41.79654886233338,-87.55204545741292,906,17,39,63,6,5,12,2021,PARKING LOT,Afternoon,Winter,0
42.04602327758856,-87.88171568917113,923,3,10,15,0,2,7,2020,SIDEWALK,Morning,Summer,0
41.915569312998635,-87.68098639396932,462,11,24,31,2,4,4,2019,RESIDENCE,Night,Winter,0
41.997405651770826,-87.65086735779012,1506,6,33,28,10,0,6,2021,STREET,Evening,Fall,1
41.8513185465526,-87.76129939381133,850,6,14,10,12,2,7,2023,PARKING LOT,Morning,Fall,0
41.88845194231318,-87.63450608568608,624,15,35,57,21,3,11,2019,APARTMENT,Night,Fall,0
41.846258846909436,-87.76517080542905,1505,7,45,71,22,6,5,2018,STREET,Night,Spring,0
41.69762149389902,-87.72291322041015,1307,11,34,33,9,1,9,2022,SIDEWALK,Night,Winter,0
41.96122605763075,-87.94669112995051,1317,17,17,7,18,6,8,2021,STREET,Afternoon,Fall,0
41.74038618122043,-87.63872594863939,1585,23,21,5,3,4,3,2023,APARTMENT,Afternoon,Summer,0
41.61215798321573,-87.65239579447487,155,18,32,57,21,2,1,2023,APARTMENT,Afternoon,Fall,0
41.922736147953586,-87.93271960520315,1353,22,3,72,4,2,11,2019,SIDEWALK,Night,Summer,0
41.68855533970353,-87.78428745167218,588,24,15,40,10,5,10,2018,PARKING LOT,Morning,Summer,0
42.07022929217646,-87.50943567164374,1151,21,8,28,8,4,8,2022,PARKING LOT,Night,Fall,0
42.076964288501294,-87.76066854684413,1955,19,32,36,12,3,4,2022,RESIDENCE,Afternoon,Summer,0
42.05743219511022,-87.72412456769067,1706,8,38,56,16,2,7,2018,APARTMENT,Afternoon,Summer,0
41.785079350127724,-87.54053142882813,821,24,26,47,14,0,4,2021,RESIDENCE,Afternoon,Spring,1
41.607728308264434,-87.62723215586041,1307,20,30,71,12,1,7,2021,APARTMENT,Morning,Winter,0
42.06415928129386,-87.6880684409941,1548,8,9,40,20,4,1,2019,RESIDENCE,Night,Spring,0
41.81409207415866,-87.59098789339652,1498,21,32,59,10,2,1,2020,PARKING LOT,Afternoon,Spring,0
42.083327409521836,-87.56103518009482,1991,11,11,43,0,6,2,2019,APARTMENT,Night,Spring,0
42.08180998854463,-87.74440036771823,140,21,22,66,7,5,5,2019,PARKING LOT,Night,Winter,0
42.02650472773368,-87.73620123578067,1607,3,34,9,22,5,11,2019,STREET,Afternoon,Winter,0
41.74722444603479,-87.77627707895668,1103,23,41,6,4,1,10,2018,PARKING LOT,Evening,Fall,1
41.79254886430096,-87.5149822369917,359,14,18,65,21,4,6,2022,APARTMENT,Evening,Spring,0
42.02556833575843,-87.63627518556935,540,9,19,3,15,4,2,2022,STREET,Evening,Winter,0
41.75846100257814,-87.91254962020636,1025,1,18,74,3,4,1,2020,RESIDENCE,Afternoon,Fall,0
41.684746373343046,-87.56166816950915,955,1,37,37,18,3,9,2021,SIDEWALK,Night,Spring,0
41.87840063122918,-87.73374802662369,183,12,18,33,17,0,7,2019,APARTMENT,Evening,Spring,0
42.06807738708039,-87.91906074210988,145,11,12,9,22,5,8,2018,SIDEWALK,Morning,Summer,0
41.94801489833749,-87.70262723517651,539,21,4,53,1,4,6,2018,SIDEWALK,Evening,Winter,0
41.88503058504468,-87.76227607446094,1794,1,47,51,12,3,9,2019,STREET,Morning,Summer,1
41.64858824688539,-87.55501276781182,1979,20,43,71,15,4,8,2018,RESIDENCE,Evening,Spring,0
41.90750361334958,-87.85820242837578,1642,12,27,26,21,4,4,2018,PARKING LOT,Evening,Spring,0
42.09502692505213,-87.57809092572852,1085,17,5,16,7,3,5,2019,STREET,Evening,Spring,1
41.670042007618264,-87.69904008896654,1968,15,6,40,18,0,2,2020,RESIDENCE,Morning,Fall,0
41.85916482618187,-87.92542536355394,1561,2,13,51,2,1,1,2018,PARKING LOT,Morning,Summer,0
42.038686535963976,-87.51266961440353,235,18,23,39,18,5,6,2022,PARKING LOT,Evening,Summer,0
41.9703843088771,-87.71932314015356,1306,16,42,55,16,2,3,2023,RESIDENCE,Morning,Spring,0
